Factor,Variable,Loading
Factor 4,"('PWB', 'Environmental_Mastery', 'the_speaker_found_it_difficult_to_arrange_their_life_in_a_satisfying_way?')",0.6869845307854807
Factor 4,"('PWB', 'Self-Acceptance', ""the_speaker's_self-attitude_was_less_positive_than_most_people's?"")",0.6862854676629166
Factor 4,"('PWB', 'Environmental_Mastery', 'the_speaker_felt_they_did_not_fit_well_with_the_people_and_community_around_them?')",0.6792226009899792
Factor 4,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_felt_bad_most_of_the_time?')",0.6645912079422518
Factor 4,"('PANAS', 'Negative', 'the_speaker_was_distressed?')",0.6549659945568503
Factor 4,"('WBP', 'Self-Acceptance', 'the_speaker_admitted_their_shortcomings_without_shame_or_embarrassment?')",0.652102507988078
Factor 4,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_experienced_unhappy_feelings_most_of_the_time?')",0.649678047430715
Factor 4,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_felt_negative_most_of_the_time?')",0.6486120238191229
Factor 4,"('PWB', 'Self-Acceptance', 'the_speaker_felt_disappointed_by_their_achievements_in_life?')",0.6466666916146134
Factor 5,"('PERMA', 'Engagement', 'the_speaker_became_absorbed_in_what_they_were_doing?')",0.7791654479886486
Factor 5,"('PERMA', 'Engagement', 'the_speaker_lost_track_of_time_while_doing_something_they_enjoyed?')",0.7524792225190747
Factor 5,"('CIT', 'Engagement', 'the_speaker_was_fully_absorbed_in_the_activities_they_were_doing?')",0.7242999152865032
Factor 5,"('WHO-5', 'Well-Being', ""the_speaker's_daily_life_has_been_filled_with_things_that_interest_them?"")",0.47861239145649886
Factor 5,"('WBP', 'Engagement', 'the_speaker_was_really_interested_in_what_they_were_doing?')",0.42910592713982176
Factor 5,"('PWB', 'Purpose_in_Life', 'the_speaker_lived_one_day_at_a_time_without_much_thought_for_the_future?')",0.3784233035797245
Factor 5,"('WBP', 'Autonomy', 'the_speaker_felt_free_to_make_their_own_choices?')",0.36435294339952423
Factor 5,"('WBP', 'Clear_Thinking', 'the_speaker_was_able_to_concentrate_when_necessary?')",0.33345072246626495
Factor 5,"('PANAS', 'Positive', 'the_speaker_was_attentive?')",0.32432715270844575
Factor 5,"('WBP', 'Autonomy', 'the_speaker_felt_free_to_act_on_their_decisions?')",0.31148866866808705
Factor 6,"('CIT', 'Relationship_-_Community', 'the_speaker_pitched_in_to_help_when_their_local_community_needed_something_done?')",0.7778117096766624
Factor 6,"('WBP', 'Prosocial_Behavior', 'the_speaker_offered_help_to_others?')",0.7445222624634928
Factor 6,"('CIT', 'Relationship_-_Community', 'the_speaker_looked_for_ways_to_help_their_neighbors_when_they_are_in_need?')",0.7177323781981639
Factor 6,"('WBP', 'Empathy', ""the_speaker's_heart_went_out_to_people_who_are_unhappy?"")",0.6022690806089782
Factor 6,"('WBP', 'Prosocial_Behavior', 'the_speaker_willingly_gave_their_time_to_others_in_need?')",0.5770220658572535
Factor 6,"('CIT', 'Mastery_-_Self-Worth', 'the_speaker_felt_the_things_they_did_contributed_to_society?')",0.5591014507453269
Factor 6,"('WBP', 'Prosocial_Behavior', 'the_speaker_would_do_almost_anything_they_could_to_assist_if_a_person_needed_help?')",0.5285038230758247
Factor 6,"('WBP', 'Empathy', ""other_people's_misfortunes_disturbed_the_speaker_a_great_deal?"")",0.5007469536310555
Factor 6,"('CIT', 'Mastery_-_Self-Worth', 'the_speaker_felt_the_work_they_did_was_important_for_other_people?')",0.4787362769458064
Factor 6,"('PWB', 'Positive_Relations', 'the_speaker_would_be_described_as_a_giving_person,_willing_to_share_their_time_with_others?')",0.32121934099868354
Factor 7,"('PERMA', 'Health', 'the_speaker_perceived_their_health_positively?')",0.8167941785923604
Factor 7,"('PERMA', 'Health', 'the_speaker_felt_satisfied_with_their_current_physical_health?')",0.8083842515147459
Factor 7,"('PERMA', 'Health', 'the_speaker_perceived_their_health_to_be_better_than_others_of_the_same_age_and_sex?')",0.7669327533121801
Factor 7,"('WHO-5', 'Well-Being', 'the_speaker_woke_up_feeling_fresh_and_rested?')",0.5070428335089214
Factor 7,"('WBP', 'Resilience', 'the_speaker_got_over_and_recovered_from_significant_life_difficulties?')",0.3321944603904752
Factor 7,"('PWB', 'Environmental_Mastery', 'the_speaker_had_built_a_living_environment_and_lifestyle_they_liked?')",0.2856236993060031
Factor 7,"('WBP', 'Resilience', 'the_speaker_bounced_back_quickly_after_hard_times?')",0.27011278694722296
Factor 7,"('WBP', 'Autonomy', 'the_speaker_felt_free_to_decide_for_themselves_how_to_live_their_life?')",0.25952325264388415
Factor 7,"('WBP', 'Self-Acceptance', 'the_speaker_accepted_who_they_are?')",0.25671888052014363
Factor 7,"('CIT', 'Autonomy_-_Control', 'other_people_decided_what_the_speaker_could_and_could_not_do?')",0.25015668613433445
Factor 8,"('WBP', 'Vitality', 'the_speaker_felt_energetic?')",0.6962258157947607
Factor 8,"('WBP', 'Vitality', 'the_speaker_felt_full_of_energy?')",0.6667381073025757
Factor 8,"('WHO-5', 'Well-Being', 'the_speaker_felt_active_and_vigorous?')",0.6484378173952806
Factor 8,"('WBP', 'Vitality', 'the_speaker_felt_active_and_vigorous?')",0.6448728507786814
Factor 8,"('CIT', 'Engagement', 'the_speaker_felt_energized_in_most_activities_they_do?')",0.5356266261521767
Factor 8,"('PERMA', 'Engagement', 'the_speaker_felt_excited_and_interested_in_things?')",0.38568358715805595
Factor 8,"('WBP', 'Engagement', 'the_speaker_felt_excited_by_what_they_were_doing?')",0.3733292648650186
Factor 8,"('PANAS', 'Positive', 'the_speaker_was_alert?')",0.3556132333099983
Factor 8,"('PANAS', 'Positive', 'the_speaker_was_excited?')",0.3350464334883265
Factor 8,"('PANAS', 'Positive', 'the_speaker_was_active?')",0.276302442438115
Factor 9,"('WBP', 'Autonomy', 'the_speaker_felt_free_to_make_their_own_choices?')",0.6774674997827694
Factor 9,"('WBP', 'Autonomy', 'the_speaker_felt_free_to_decide_for_themselves_how_to_live_their_life?')",0.6436130813375963
Factor 9,"('WBP', 'Autonomy', 'the_speaker_felt_free_to_act_on_their_decisions?')",0.5796369400213423
Factor 9,"('PWB', 'Environmental_Mastery', 'the_speaker_felt_in_charge_of_the_situation?')",0.4434507309592311
Factor 9,"('PWB', 'Autonomy', ""the_speaker's_decisions_were_not_influenced_by_what_everyone_else_was_doing?"")",0.356435525882657
Factor 9,"('PANAS', 'Positive', 'the_speaker_was_active?')",0.2732237197320386
Factor 9,"('CIT', 'Mastery_-_Self-Worth', 'the_speaker_felt_the_work_they_did_was_important_for_other_people?')",0.24521206113922486
Factor 9,"('PWB', 'Purpose_in_Life', 'the_speaker_enjoyed_making_plans_for_the_future_and_working_to_make_them_a_reality?')",0.23270112759170158
Factor 9,"('PANAS', 'Positive', 'the_speaker_was_proud?')",0.20746706541756174
Factor 9,"('PWB', 'Autonomy', ""the_speaker_judged_themselves_by_their_own_values_rather_than_by_others'_values?"")",0.18272993593422035
Factor 10,"('PANAS', 'Negative', 'the_speaker_was_nervous?')",0.634607489285505
Factor 10,"('PERMA', 'Negative_emotion', 'the_speaker_felt_anxious?')",0.6202653937357535
Factor 10,"('PANAS', 'Negative', 'the_speaker_was_jittery?')",0.5448598056160543
Factor 10,"('PANAS', 'Negative', 'the_speaker_was_scared?')",0.5389564706616086
Factor 10,"('PANAS', 'Negative', 'the_speaker_was_afraid?')",0.47665716963519106
Factor 10,"('PANAS', 'Negative', 'the_speaker_was_distressed?')",0.23297668515905265
Factor 10,"('PWB', 'Environmental_Mastery', 'the_speaker_had_built_a_living_environment_and_lifestyle_they_liked?')",0.21056757102180626
Factor 10,"('PWB', 'Autonomy', ""the_speaker_judged_themselves_by_their_own_values_rather_than_by_others'_values?"")",0.20685423877912276
Factor 10,"('WBP', 'Emotional_Stability', 'the_speaker_was_emotionally_balanced_and_even-tempered?')",0.201777249396575
Factor 10,"('PWB', 'Autonomy', 'the_speaker_worried_about_what_others_thought_of_them?')",0.1843353318891726
Factor 11,"('CIT', 'Relationship_-_Belonging', 'the_speaker_felt_a_sense_of_belonging_in_their_country?')",0.6062503747176907
Factor 11,"('CIT', 'Relationship_-_Belonging', 'the_speaker_felt_a_sense_of_belonging_in_their_state_or_province?')",0.5800302772950584
Factor 11,"('CIT', 'Relationship_-_Trust', ""people_in_the_speaker's_neighborhood_could_be_trusted?"")",0.4159756345538867
Factor 11,"('CIT', 'Relationship_-_Belonging', 'the_speaker_felt_a_sense_of_belonging_in_their_community?')",0.3537249975250427
Factor 11,"('PWB', 'Positive_Relations', 'the_speaker_felt_mutual_trust_with_their_friends?')",0.3312931351604529
Factor 11,"('CIT', 'Autonomy_-_Control', ""other_people_decided_most_of_the_speaker's_life_decisions?"")",0.29132861083668926
Factor 11,"('CIT', 'Autonomy_-_Control', 'other_people_decided_what_the_speaker_could_and_could_not_do?')",0.2762233815783049
Factor 11,"('PWB', 'Autonomy', 'the_speaker_was_influenced_by_people_with_strong_opinions?')",0.24699040141831702
Factor 11,"('CIT', 'Relationship_-_Community', 'the_speaker_invited_their_neighbors_to_their_home?')",0.24553058022818006
Factor 11,"('CIT', 'Relationship_-_Trust', 'most_people_the_speaker_met_were_honest?')",0.2224982172721008
Factor 12,"('PWB', 'Autonomy', 'the_speaker_was_not_afraid_to_voice_their_opinions,_even_when_they_were_in_opposition_to_others?')",0.5611682419578535
Factor 12,"('PWB', 'Autonomy', 'the_speaker_was_influenced_by_people_with_strong_opinions?')",0.5509918479390697
Factor 12,"('PWB', 'Autonomy', 'the_speaker_had_confidence_in_their_opinions,_even_if_contrary_to_the_general_consensus?')",0.5442254382543396
Factor 12,"('PWB', 'Autonomy', 'the_speaker_found_it_difficult_to_voice_their_opinions_on_controversial_matters?')",0.36341801823654046
Factor 12,"('PWB', 'Autonomy', 'the_speaker_worried_about_what_others_thought_of_them?')",0.23633712553554928
Factor 12,"('CIT', 'Mastery_-_Learning', 'the_speaker_felt_learning_new_things_is_important?')",0.2310770981199511
Factor 12,"('CIT', 'Mastery_-_Learning', 'the_speaker_learned_something_new?')",0.20571750379101442
Factor 12,"('CIT', 'Mastery_-_Learning', 'the_speaker_always_learns_something_everyday?')",0.19554520707645007
Factor 12,"('CIT', 'Autonomy_-_Control', 'other_people_decided_what_the_speaker_could_and_could_not_do?')",0.18978946277551065
Factor 12,"('CIT', 'Relationship_-_Belonging', 'the_speaker_felt_a_sense_of_belonging_in_their_country?')",0.18194243606586513
Factor 13,"('WHO-5', 'Well-Being', 'the_speaker_felt_calm_and_relaxed?')",0.6022233285126047
Factor 13,"('WBP', 'Emotional_Stability', 'the_speaker_maintained_their_composure?')",0.5319918964667592
Factor 13,"('WBP', 'Emotional_Stability', 'the_speaker_was_emotionally_balanced_and_even-tempered?')",0.478452204032017
Factor 13,"('WBP', 'Emotional_Stability', 'the_speaker_did_not_get_upset_easily?')",0.314122177885358
Factor 13,"('WBP', 'Clear_Thinking', 'the_speaker’s_ability_to_think_clearly?')",0.27244830018213056
Factor 13,"('PWB', 'Environmental_Mastery', 'the_speaker_felt_that_they_were_good_at_managing_the_responsibilities_of_daily_life?')",0.2587466539402719
Factor 13,"('WHO-5', 'Well-Being', 'the_speaker_woke_up_feeling_fresh_and_rested?')",0.24686156295792047
Factor 13,"('WBP', 'Optimism', 'the_speaker_always_feels_optimistic_in_the_moment?')",0.24558653421631327
Factor 13,"('PERMA', 'Accomplishment', 'the_speaker_was_able_to_handle_their_responsibilities?')",0.2425816629851339
Factor 13,"('WBP', 'Resilience', 'the_speaker_recovered_quickly_from_a_stressful_event?')",0.19324798187453535
Factor 14,"('PERMA', 'Negative_emotion', 'the_speaker_felt_angry?')",0.7091409081865082
Factor 14,"('PANAS', 'Negative', 'the_speaker_was_hostile?')",0.7062930670594382
Factor 14,"('PANAS', 'Negative', 'the_speaker_was_irritable?')",0.5177177956593937
Factor 14,"('PANAS', 'Negative', 'the_speaker_was_upset?')",0.3605835296301344
Factor 14,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_felt_negative_most_of_the_time?')",0.3268838296562254
Factor 14,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_experienced_unhappy_feelings_most_of_the_time?')",0.260475288157113
Factor 14,"('PANAS', 'Negative', 'the_speaker_was_distressed?')",0.20901637074097346
Factor 14,"('PANAS', 'Negative', 'the_speaker_was_ashamed?')",0.18583010950500806
Factor 14,"('PANAS', 'Negative', 'the_speaker_was_guilty?')",0.18157125037722519
Factor 14,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_felt_bad_most_of_the_time?')",0.16577278593524572
Factor 15,"('PANAS', 'Positive', 'the_speaker_was_attentive?')",0.4514041091100395
Factor 15,"('WBP', 'Engagement', 'the_speaker_was_really_interested_in_what_they_were_doing?')",0.39165123995465423
Factor 15,"('PANAS', 'Positive', 'the_speaker_was_interested?')",0.37052881957066786
Factor 15,"('PANAS', 'Positive', 'the_speaker_was_alert?')",0.3419522352813516
Factor 15,"('WBP', 'Engagement', 'the_speaker_was_engaged_and_interested_in_the_activity?')",0.330320233247254
Factor 15,"('CIT', 'Autonomy_-_Control', 'other_people_decided_what_the_speaker_could_and_could_not_do?')",0.29149768411924776
Factor 15,"('CIT', 'Autonomy_-_Control', ""other_people_decided_most_of_the_speaker's_life_decisions?"")",0.2382210907089946
Factor 15,"('PERMA', 'Negative_emotion', 'the_speaker_felt_sad?')",0.21399705604466432
Factor 15,"('CIT', 'Meaning', 'the_speaker_knew_what_gives_meaning_to_their_life?')",0.18732116310526836
Factor 15,"('PANAS', 'Negative', 'the_speaker_was_upset?')",0.17897242499143323
Factor 16,"('CIT', 'Mastery_-_Learning', 'the_speaker_learned_something_new?')",0.4931186396028632
Factor 16,"('PWB', 'Personal_Growth', 'the_speaker_valued_new_experiences_that_challenge_their_thoughts_about_themselves_and_the_world?')",0.47512386506404763
Factor 16,"('CIT', 'Mastery_-_Learning', 'the_speaker_felt_learning_new_things_is_important?')",0.44447427182085886
Factor 16,"('CIT', 'Mastery_-_Learning', 'the_speaker_always_learns_something_everyday?')",0.44311057891775796
Factor 16,"('PWB', 'Personal_Growth', 'the_speaker_was_continuously_in_the_process_of_learning,_changing,_and_growing?')",0.4084507602751027
Factor 16,"('PWB', 'Personal_Growth', 'the_speaker_felt_they_had_developed_significantly_as_a_person_over_time?')",0.24821378191770116
Factor 16,"('PANAS', 'Positive', 'the_speaker_was_inspired?')",0.24678641265190399
Factor 16,"('CIT', 'Mastery_-_Accomplishment', 'the_speaker_felt_they_achieved_most_of_their_goals?')",0.19723728683431105
Factor 16,"('PWB', 'Environmental_Mastery', 'the_speaker_felt_that_they_were_good_at_managing_the_responsibilities_of_daily_life?')",0.1720261892848226
Factor 16,"('PERMA', 'Accomplishment', 'the_speaker_was_able_to_handle_their_responsibilities?')",0.16225696357742886
Factor 17,"('CIT', 'Meaning', 'the_speaker_felt_their_life_has_a_clear_sense_of_purpose?')",0.35717169589821
Factor 17,"('PERMA', 'Meaning', 'the_speaker_felt_they_had_a_sense_of_direction_in_life?')",0.3417938536983482
Factor 17,"('WBP', 'Resilience', 'the_speaker_got_over_and_recovered_from_significant_life_difficulties?')",0.313301468754974
Factor 17,"('PWB', 'Purpose_in_Life', 'the_speaker_felt_they_had_direction_in_life,_unlike_those_who_wander_aimlessly?')",0.29593615030936116
Factor 17,"('PANAS', 'Positive', 'the_speaker_was_inspired?')",0.27237529135109767
Factor 17,"('PWB', 'Purpose_in_Life', 'the_speaker_felt_a_sense_of_direction_and_purpose?')",0.2661678481718795
Factor 17,"('PWB', 'Positive_Relations', 'the_speaker_felt_mutual_trust_with_their_friends?')",0.26113641415138433
Factor 17,"('CIT', 'Mastery_-_Accomplishment', 'the_speaker_felt_they_were_on_track_to_reach_their_dreams?')",0.2541584212451335
Factor 17,"('WBP', 'Optimism', 'the_speaker_always_feels_optimistic_in_the_moment?')",0.23818306904524547
Factor 17,"('CIT', 'Mastery_-_Skills', 'the_speaker_used_their_talents?')",0.22955055694157805
Factor 18,"('SWLS', 'LS', 'the_speaker_felt_they_had_gotten_the_important_things_they_wanted_in_life?')",0.33054772441480307
Factor 18,"('SWLS', 'LS', 'the_speaker_felt_their_life_was_close_to_their_ideal?')",0.318735827503682
Factor 18,"('CIT', 'Subjective_Well-Being_-_Life_Satisfaction', 'the_speaker_felt_in_most_ways_their_life_was_close_to_their_ideal?')",0.31243745045310434
Factor 18,"('PWB', 'Environmental_Mastery', 'the_speaker_had_built_a_living_environment_and_lifestyle_they_liked?')",0.2849839796047819
Factor 18,"('SWLS', 'LS', 'the_speaker_felt_the_conditions_of_their_life_were_excellent?')",0.2773497457734946
Factor 18,"('CIT', 'Meaning', 'the_speaker_felt_they_had_found_a_satisfactory_meaning_in_life?')",0.2746508244059248
Factor 18,"('PWB', 'Self-Acceptance', 'the_speaker_felt_pleased_with_how_their_life_had_turned_out?')",0.27079490095368863
Factor 18,"('CIT', 'Meaning', 'the_speaker_knew_what_gives_meaning_to_their_life?')",0.2609733123064349
Factor 18,"('PERMA', 'Meaning', 'the_speaker_felt_what_they_did_in_life_was_valuable_and_worthwhile?')",0.23002108356184664
Factor 18,"('CIT', 'Subjective_Well-Being_-_Life_Satisfaction', 'the_speaker_felt_their_life_is_going_well?')",0.2230742019642322
Factor 19,"('WBP', 'Resilience', 'the_speaker_recovered_quickly_from_a_stressful_event?')",0.4543602066403626
Factor 19,"('WBP', 'Resilience', 'the_speaker_bounced_back_quickly_after_hard_times?')",0.3641525786843118
Factor 19,"('PANAS', 'Positive', 'the_speaker_was_proud?')",0.2764456968967787
Factor 19,"('CIT', 'Subjective_Well-Being_-_Negative_Feelings', 'the_speaker_felt_bad_most_of_the_time?')",0.23174571788063725
Factor 19,"('PWB', 'Environmental_Mastery', 'the_demands_of_everyday_life_affected_the_speaker_negatively?')",0.2271732208068537
Factor 19,"('PANAS', 'Negative', 'the_speaker_was_distressed?')",0.21432791685394986
Factor 19,"('PWB', 'Self-Acceptance', 'the_speaker_felt_good_about_themselves_when_comparing_to_friends_and_acquaintances?')",0.20327629872987962
Factor 19,"('WBP', 'Clear_Thinking', 'the_speaker’s_ability_to_think_clearly?')",0.18919310189990754
Factor 19,"('WBP', 'Resilience', 'the_speaker_got_over_and_recovered_from_significant_life_difficulties?')",0.1785285355016334
Factor 19,"('PWB', 'Autonomy', 'the_speaker_worried_about_what_others_thought_of_them?')",0.17541702812377036
Factor 20,"('PERMA', 'Relationships', 'the_speaker_received_help_and_support_from_others_when_needed?')",0.4912549792492081
Factor 20,"('WBP', 'Positive_Relationships', 'the_speaker_received_help_and_support_from_others_when_they_needed_it?')",0.4725191503870736
Factor 20,"('CIT', 'Relationship_-_Support', 'there_are_people_the_speaker_depended_on_to_help_them?')",0.3186252251040957
Factor 20,"('PWB', 'Positive_Relations', 'the_speaker_would_be_described_as_a_giving_person,_willing_to_share_their_time_with_others?')",0.20904000191161676
Factor 20,"('CIT', 'Engagement', 'the_speaker_felt_excited_when_they_were_working_on_something?')",0.20762093276137664
Factor 20,"('CIT', 'Relationship_-_Support', 'there_are_people_who_gave_the_speaker_support_and_encouragement?')",0.1960234154563855
Factor 20,"('WBP', 'Empathy', ""the_speaker_felt_other's_emotions?"")",0.18275144920349862
Factor 20,"('PANAS', 'Negative', 'the_speaker_was_distressed?')",0.17999571364026254
Factor 20,"('PWB', 'Positive_Relations', 'the_speaker_was_seen_as_loving_and_affectionate?')",0.17115353161435554
Factor 20,"('WBP', 'Empathy', ""the_speaker_easily_got_caught_up_in_other_people's_feelings?"")",0.16654106254844397
Factor 21,"('PERMA', 'Lonliness', 'the_speaker_felt_lonely_in_their_daily_life?')",0.37734674539299623
Factor 21,"('CIT', 'Relationship_-_Loneliness', 'the_speaker_felt_lonely?')",0.3772319890873251
Factor 21,"('PWB', 'Positive_Relations', 'the_speaker_felt_lonely_due_to_a_lack_of_close_friends_for_sharing_concerns?')",0.37188556312857796
Factor 21,"('WBP', 'Self-Acceptance', 'the_speaker_admitted_their_shortcomings_without_shame_or_embarrassment?')",0.31818898322418027
Factor 21,"('CIT', 'Relationship_-_Loneliness', 'the_speaker_often_felt_left_out?')",0.26214188805814015
Factor 21,"('PANAS', 'Negative', 'the_speaker_was_ashamed?')",0.25538489521240965
Factor 21,"('PANAS', 'Negative', 'the_speaker_was_guilty?')",0.227136412098
Factor 21,"('PWB', 'Positive_Relations', 'the_speaker_had_not_experienced_many_warm_and_trusting_relationships_with_others?')",0.21418174397785844
Factor 21,"('CIT', 'Relationship_-_Loneliness', 'there_was_no_one_the_speaker_felt_close_to?')",0.21102831079501644
Factor 21,"('PWB', 'Autonomy', ""the_speaker_judged_themselves_by_their_own_values_rather_than_by_others'_values?"")",0.1998827128724617
Factor 22,"('PWB', 'Self-Acceptance', 'the_speaker_felt_good_about_themselves_when_comparing_to_friends_and_acquaintances?')",0.24664434697541465
Factor 22,"('WBP', 'Competence', 'the_speaker_believes_they_do_most_things_well?')",0.2459966959309815
Factor 22,"('CIT', 'Relationship_-_Respect', 'people_respected_the_speaker?')",0.23854341680664742
Factor 22,"('PWB', 'Purpose_in_Life', 'the_speaker_enjoyed_making_plans_for_the_future_and_working_to_make_them_a_reality?')",0.23279937237095497
Factor 22,"('WBP', 'Meaning', 'the_speaker_had_a_clear_sense_of_purpose?')",0.2087563901298067
Factor 22,"('WBP', 'Self-Esteem', 'the_speaker_felt_that_they_have_a_number_of_good_qualities?')",0.2020592547339508
Factor 22,"('SWLS', 'LS', 'the_speaker_felt_they_would_change_almost_nothing_if_they_could_live_life_over?')",0.19840457472083498
Factor 22,"('CIT', 'Relationship_-_Respect', 'people_were_polite_to_the_speaker?')",0.19310523079106495
Factor 22,"('CIT', 'Relationship_-_Trust', 'most_people_the_speaker_met_were_honest?')",0.18862343883586555
Factor 22,"('WBP', 'Self-Acceptance', 'the_speaker_accepted_who_they_are?')",0.18811938860988295
Factor 23,"('CIT', 'Relationship_-_Community', 'the_speaker_invited_their_neighbors_to_their_home?')",0.29108331698209833
Factor 23,"('PWB', 'Environmental_Mastery', 'the_speaker_had_built_a_living_environment_and_lifestyle_they_liked?')",0.19466195816430287
Factor 23,"('CIT', 'Relationship_-_Respect', 'the_speaker_was_treated_with_the_same_amount_of_respect_as_others?')",0.15993902071505647
Factor 23,"('PANAS', 'Negative', 'the_speaker_was_guilty?')",0.15337593982134742
Factor 23,"('PWB', 'Environmental_Mastery', 'the_speaker_felt_that_they_were_good_at_managing_the_responsibilities_of_daily_life?')",0.14737942138303678
Factor 23,"('PERMA', 'Accomplishment', 'the_speaker_achieved_the_important_goals_they_set_for_themselves?')",0.14605575357304618
Factor 23,"('CIT', 'Relationship_-_Trust', 'most_people_the_speaker_met_were_honest?')",0.1446564069327995
Factor 23,"('CIT', 'Optimism', 'the_speaker_felt_optimistic_about_their_future?')",0.14168581827772259
Factor 23,"('PERMA', 'Accomplishment', 'the_speaker_felt_they_were_making_progress_towards_accomplishing_their_goals?')",0.13871585156738772
Factor 23,"('PWB', 'Purpose_in_Life', 'the_speaker_found_their_daily_activities_trivial_and_unimportant?')",0.13784172446387688
